Unnamed: 0.1,Unnamed: 0,id,neo_reference_id,name,name_limited,designation,absolute_magnitude_h,is_potentially_hazardous_asteroid,is_sentry_object,kilometers_estimated_diameter_min,kilometers_estimated_diameter_max,orbit_id,orbit_class_type,perihelion_distance,aphelion_distance,first_observation_date,last_observation_date,orbit_class_description,Median Size,start_date,end_date,duration,After Atlas
74,74,2005620,2005620,5620 Jasonwheeler (1990 OA),Jasonwheeler,5620,17.04,False,False,1.038855101,2.3229506246,114,AMO,1.247572956292145,3.071100551599537,1955-05-16,2021-02-10,Near-Earth asteroid orbits similar to that of 1221 Amor,0.6420477617999999,1955-05-16,2021-02-10,24012 days,False
75,75,2005626,2005626,5626 Melissabrucker (1991 FE),Melissabrucker,5626,14.24,False,False,3.7718548926,8.4341239412,621,AMO,1.19619688654077,3.191659238538862,1970-09-08,2021-07-01,Near-Earth asteroid orbits similar to that of 1221 Amor,2.3311345242999995,1970-09-08,2021-07-01,18559 days,False
78,78,2005653,2005653,5653 Camarillo (1992 WD5),Camarillo,5653,16.27,False,False,1.4809997207,3.3116160501,385,AMO,1.247505462369059,2.340803247544815,1974-03-24,2022-04-12,Near-Earth asteroid orbits similar to that of 1221 Amor,0.9153081647,1974-03-24,2022-04-12,17551 days,False
81,81,2005731,2005731,5731 Zeus (1988 VP4),Zeus,5731,15.51,False,False,2.1016237932,4.6993736648,142,APO,0.7884152949990328,3.748175018859633,1988-09-13,2021-09-11,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,1.2988749358000002,1988-09-13,2021-09-11,12051 days,False
82,82,2005751,2005751,5751 Zao (1992 AC),Zao,5751,14.91,False,False,2.7704797273,6.1949810006,322,AMO,1.208221381291702,2.995212719038769,1989-03-10,2022-02-20,Near-Earth asteroid orbits similar to that of 1221 Amor,1.71225063665,1989-03-10,2022-02-20,12035 days,False
83,83,2005786,2005786,5786 Talos (1991 RC),Talos,5786,17.14,False,False,0.9920989194,2.2184006242,192,APO,0.1871707777559236,1.975840620969333,1991-09-03,2020-11-08,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,0.6131508524,1991-09-03,2020-11-08,10659 days,False
84,84,2005797,2005797,5797 Bivoj (1980 AA),Bivoj,5797,18.8,False,False,0.4619074603,1.0328564805,93,AMO,1.052511781229716,2.734983752219537,1953-10-12,2019-04-29,Near-Earth asteroid orbits similar to that of 1221 Amor,0.2854745101,1953-10-12,2019-04-29,23940 days,False
87,87,2005863,2005863,5863 Tara (1983 RB),Tara,5863,15.85,False,False,1.7970285486,4.0182779922,237,AMO,1.098857199367358,3.34632802713108,1983-09-07,2022-04-03,Near-Earth asteroid orbits similar to that of 1221 Amor,1.1106247217999998,1983-09-07,2022-04-03,14088 days,False
88,88,2005869,2005869,5869 Tanith (1988 VN4),Tanith,5869,17.2,False,False,0.9650614696,2.1579430484,149,AMO,1.229490505513638,2.394406420066556,1977-02-16,2021-06-11,Near-Earth asteroid orbits similar to that of 1221 Amor,0.5964407893999999,1977-02-16,2021-06-11,16186 days,False
89,89,2005879,2005879,5879 Almeria (1992 CH1),Almeria,5879,17.66,False,False,0.7808272775,1.7459828712,202,AMO,1.154769501777154,2.094353210943931,1992-02-08,2021-07-07,Near-Earth asteroid orbits similar to that of 1221 Amor,0.48257779685,1992-02-08,2021-07-07,10742 days,False
92,92,2006050,2006050,6050 Miwablock (1992 AE),Miwablock,6050,15.0,False,False,2.658,5.9434686842,457,AMO,1.239995691161913,3.16514594406185,1953-02-15,2022-04-01,Near-Earth asteroid orbits similar to that of 1221 Amor,1.6427343421,1953-02-15,2022-04-01,25247 days,False
94,94,2006063,2006063,6063 Jason (1984 KB),Jason,6063,15.97,False,False,1.7004151927,3.8022439609,187,APO,0.5218452742924481,3.914830938357445,1960-10-22,2021-09-08,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,1.0509143841,1960-10-22,2021-09-08,22236 days,False
96,96,2006239,2006239,6239 Minos (1989 QF),Minos,6239,18.49,True,False,0.5327886649,1.1913516723,232,APO,0.6762039533911306,1.626195052134555,1983-01-14,2021-01-10,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,0.3292815037,1983-01-14,2021-01-10,13876 days,False
98,98,2006456,2006456,6456 Golombek (1992 OM),Golombek,6456,15.96,False,False,1.7082639526,3.8197943216,306,AMO,1.294677991642281,3.090322548338146,1979-08-22,2021-12-02,Near-Earth asteroid orbits similar to that of 1221 Amor,1.0557651844999998,1979-08-22,2021-12-02,15443 days,False
